"actor","text","season","episode","title"
"Walter","My name is Walter Hartwell White. I live at 308 Negra Arroyo Lane Albuquerque, New Mexico, 87104. To all law enforcement entities, this is not an admission of guilt. I am speaking to my family now. Skyler you are the love of my life. I hope you know that. Walter Junior you're my big man. There are going to be some things. Things that you'll come to learn about me in the next few days. I just want you to know that no matter how it may look, I only had you in my heart. Goodbye.","1","01","The Pilot"
"Skyler","Happy Birthday.","1","01","The Pilot"
"Walter","Look at that.","1","01","The Pilot"
"Skyler","That is veggie bacon. Believe it or not. Zero cholesterol. You won't even taste the difference. What time do you think you'll be home?","1","01","The Pilot"
"Walter","Same time.","1","01","The Pilot"
"Skyler","I don't want him dicking you around tonight. You get paid till 5, you work till 5, no later.","1","01","The Pilot"
"Walter","Hey.","1","01","The Pilot"
"Walter Jr","Happy birthday.","1","01","The Pilot"
"Walter","Well, thank you.","1","01","The Pilot"
"Skyler","You're late again.","1","01","The Pilot"
"Walter Jr","There was no hot water again.","1","01","The Pilot"
"Skyler","I have an easy fix for that. You wake up early, and then you get to be the first person in the shower.","1","01","The Pilot"
"Walter Jr","I have an idea. How about buy a new hot water heater? How's that idea? For the millionth and billionth time.","1","01","The Pilot"
"Skyler","Did you take your Echinacea?","1","01","The Pilot"
"Walter","Yeah. I think it's getting better.","1","01","The Pilot"
"Walter Jr","What the hell is this?","1","01","The Pilot"
"Walter","It's veggie bacon. We're watching our cholesterol, I guess.","1","01","The Pilot"
"Walter Jr","Not me. I want real bacon. Not this fake crap.","1","01","The Pilot"
"Skyler","Too bad. Eat it.","1","01","The Pilot"
"Walter Jr","This smells like Band-aids.","1","01","The Pilot"
"Skyler","Eat it.","1","01","The Pilot"
"Walter Jr","So, how's it feel to be old?","1","01","The Pilot"
"Walter","How does it feel to be a smart ass?","1","01","The Pilot"
"Walter Jr","Good.","1","01","The Pilot"
"Walter","Eat your veggie bacon.","1","01","The Pilot"
"Walter","You all set?","1","01","The Pilot"
"Walter Jr","Yeah, I'm fine.","1","01","The Pilot"
"Walter","All right, see you at home.","1","01","The Pilot"
"Walter Jr","Okay, see you.","1","01","The Pilot"
"Walter","Chemistry. It is the study of what? Anyone? Ben.","1","01","The Pilot"
"Ben","Chemicals.","1","01","The Pilot"
"Walter","Chemicals! No! Chemistry is well, technically, chemistry is the study of matter. But I prefer to see it as the study of change. Now just just think about this. Electrons. They change their energy levels. Molecules. Molecules change their bonds. Elements. They combine and change into compounds. Well, that's all of life. Right? I mean, it's just It's the constant. It's the cycle. It's solution, dissolution, just over and over and over. It is growth, then decay, then transformation. It is fascinating, really. Chad, is there something wrong with your table? Okay. Ionic bonds Are you done? Ionic bonds. Chapter 6.","1","01","The Pilot"
"Walter","And 2, 3 makes 10, and 10 makes 20. Here's your receipt, and hand this claiming disc to your car wash professional. Thank you. Come again.","1","01","The Pilot"
"Bogdan","He's not coming. He said he quits. I'm gonna run the register.","1","01","The Pilot"
"Walter","Bogdan, no. We talked about this.","1","01","The Pilot"
"Bogdan","I'm shorthanded, Walter. What am I to do? Walter? What am I to do?","1","01","The Pilot"
"Chad","Hey, Mr. White! Make those tires shine, huh?","1","01","The Pilot"
"Chad’s Girlfriend","Oh, my God. You would not believe who's cleaning Chad's car. Mr. White from Chemistry.","1","01","The Pilot"
"Everyone","Surprise!","1","01","The Pilot"
"Walter Jr","Happy Birthday, Dad!","1","01","The Pilot"
"Skyler","You're so very late.","1","01","The Pilot"
"Carmen","Really, I'm serious, Skyler. I mean, you're flat as a washboard. You look awesome. She's not showing at all, is she?","1","01","The Pilot"
"Marie","She's showing a little.","1","01","The Pilot"
"Skyler","Carmen, this is my sister Marie.","1","01","The Pilot"
"Carmen","Pleased to meet you.","1","01","The Pilot"
"Marie","Hi.","1","01","The Pilot"
"Hank","Glock 22. It's my daily carry, okay? I mean, unless you're talking, what, plus, P-plus loads, you can forget the 9-mil, all right? I’ve seen one of those bounce off a windshield one time.","1","01","The Pilot"
"Steve","Yeah, the way you sh**t.","1","01","The Pilot"
"Hank","If you're gonna bring a g*n, you gotta bring enough g*n. 40 caliber.","1","01","The Pilot"
"Walter Jr","This is awesome right here.","1","01","The Pilot"
"Hank","Nice, isn't it?","1","01","The Pilot"
"Walter Jr","Dad, come check this out.","1","01","The Pilot"
"Walter","Yeah, I see it.","1","01","The Pilot"
"Walter Jr","Come on, take it.","1","01","The Pilot"
"Hank","Check it out, Walt.","1","01","The Pilot"
"Walter","No, no, it's just heavy.","1","01","The Pilot"
"Hank","That's why they hire men. Jesus, it's not gonna bite you, all right? Looks like Keith Richards with a glass of warm milk, doesn't he? Hey, Walt. Everybody listen up, listen up, listen up! I'm gonna give a toast. A little toast to my brother-in-law. Come here. Walt, you got a brain the size of Wisconsin, but we're not gonna hold that against you. Because your heart's in the right place, man. Your heart's in the right place. We love you, man. We love you. Everybody! To Walt! Nostrovia!","1","01","The Pilot"
"Everyone","Nostrovia!","1","01","The Pilot"
"Hank","Oh shit, turn on Channel 3.","1","01","The Pilot"
"Hank(on the news)","At which point we apprehended three individuals and placed them into custody. I'm proud to say the outstanding professionalism of my fellow agents at the Albuquerque District Office resulted in a substantial amount of methamphetamine being taken off the streets.","1","01","The Pilot"
"Reporter(on the news)","Were any shots fired?","1","01","The Pilot"
"Hank(on the news)","No, ma'am. Our agents took the suspects by surprise.","1","01","The Pilot"
"Steve","Damn, the TV does add ten pounds.","1","01","The Pilot"
"Marie","Ten pounds?","1","01","The Pilot"
"Hank","Hey, sit and spin. Both of you.","1","01","The Pilot"
"Skyler","Hank.","1","01","The Pilot"
"Hank","What? Sorry. You didn't see that.","1","01","The Pilot"
"Skyler","So charming.","1","01","The Pilot"
"Hank(on the news)","This is clearly an ongoing operation, one which was well organized.","1","01","The Pilot"
"Walter","Hank, how much money is that?","1","01","The Pilot"
"Hank","It's about 700 grand. That's a pretty good haul, huh?","1","01","The Pilot"
"Hank(on the news)","As I say, it's a good day for the citizens of Albuquerque when we can put this big a dent in the local drug trade.","1","01","The Pilot"
"Walter","Wow. But that's unusual, isn't it, that kind of cash?","1","01","The Pilot"
"Hank","Well, it's not the most we ever took. It's easy money until we catch you. Walt, just say the word and I'll take you on a ride-along. You can watch us knock down a meth lab. Get a little excitement in your life.","1","01","The Pilot"
"Walter","Well, someday.","1","01","The Pilot"
"Walter","Which one's this?","1","01","The Pilot"
"Skyler","That faux-Lalique vase I picked up at the Super-Swap.","1","01","The Pilot"
"Walter","How's it doing?","1","01","The Pilot"
"Skyler","I met my reserve, and there's still two minutes.","1","01","The Pilot"
"Walter","What's up?","1","01","The Pilot"
"Skyler","You tell me, birthday boy. Oh, hey, so what's up for Saturday?","1","01","The Pilot"
"Walter","Car wash. Bogdan says he needs me.","1","01","The Pilot"
"Skyler","Until what time? Noon? 1-ish?","1","01","The Pilot"
"Walter","Probably 2, more like it.","1","01","The Pilot"
"Skyler","And then what after that?","1","01","The Pilot"
"Walter","Actually I was thinking of driving up to Los Alamos. The visitor center has an exhibit on that’s really supposed to be...","1","01","The Pilot"
"Skyler","You're not gonna paint?","1","01","The Pilot"
"Walter","I'll paint. It's just that this part of this exhibition on the Mars Rover photographs are the detail really is just supposed to be amazing.","1","01","The Pilot"
"Skyler","It's just that I really need you to paint at some point. I mean, the sooner that back bedroom gets finished. And I'd do it myself, except you said you don't want me standing on the stepladder.","1","01","The Pilot"
"Walter","I'll paint. I will paint.","1","01","The Pilot"
"Skyler","What is going on down there?","1","01","The Pilot"
"Walter","No, it's just...","1","01","The Pilot"
"Skyler","Is he asleep?","1","01","The Pilot"
"Walter","No, It's nothing. You know, just you know, we gotta be careful about the baby.","1","01","The Pilot"
"Skyler","Don't worry about the baby. This is just for you. We are just doing you tonight. So just close your eyes. Relax, and let it. Close your eyes.","1","01","The Pilot"
"Walter","Okay.","1","01","The Pilot"
"Skyler","There you go. That's it. That's it. There you go. Keep it going. Keep it going. Keep it going. Keep Yes! 56!","1","01","The Pilot"
"Walter","This is so embarrassing. I am fine. Honestly. It's just some bug going around. First my wife had it, then my son, and now me. It's just like a chest cold. Could be some low blood sugar as well. I didn't have the greatest breakfast this morning, honestly. Hey, listen, can you do me a favor? Can you just drop me off at a corner somewhere?","1","01","The Pilot"
"EMT","No. Sorry.","1","01","The Pilot"
"Walter","It's just that I don't have the greatest insurance.","1","01","The Pilot"
"EMT","Take a couple of deep breaths for me. Is there anybody you want us to contact for you?","1","01","The Pilot"
"Walter","God, no.","1","01","The Pilot"
"EMT","Lean forward for me, would you? Mr. White, are you a smoker?","1","01","The Pilot"
"Walter","No. Never. Why do you ask?","1","01","The Pilot"
"Doctor","Mr. White. Mr. White?","1","01","The Pilot"
"Walter","Yes.","1","01","The Pilot"
"Doctor","You understood what I've just said to you?","1","01","The Pilot"
"Walter","Yes. Lung cancer. Inoperable.","1","01","The Pilot"
"Doctor","I'm sorry I just need to make sure you fully understand.","1","01","The Pilot"
"Walter","Best-case scenario, with chemo, I'll live maybe another couple years. It's just you've got mustard on your...right there. Mustard, there. Right there.","1","01","The Pilot"
"Skyler","So my records show that I paid it, and I certainly don't feel that we owe any late...All right. Well, I'll check with the bank and maybe the post office, if they lost it or something. Yeah, let me look into that. Okay. Thank you. Did you use the MasterCard last month?","1","01","The Pilot"
"Walter","We needed printer paper.","1","01","The Pilot"
"Skyler","Walt, the MasterCard's the one we don't use.","1","01","The Pilot"
"Walter","Okay.","1","01","The Pilot"
"Skyler","So how was your day?","1","01","The Pilot"
"Walter","Oh, I don't know. I don't know. It was, um it was fine.","1","01","The Pilot"
"Bogdan","Come on. I'm shorthanded. I need you to do some wipe-downs. Come on.","1","01","The Pilot"
"Walter","What?","1","01","The Pilot"
"Bogdan","I said I need you outside to do some wipe-downs. Are you here to work or to be staring at the skies? Come on, let's go. Come on, man.","1","01","The Pilot"
"Walter","f*ck you, Bogdan.","1","01","The Pilot"
"Bogdan","What?","1","01","The Pilot"
"Walter","I said f*ck you! And your eyebrows! Wipe down this!","1","01","The Pilot"
"Walter","Uh, Hank. Hank, it's Walt. Hey. Oh, listen I didn't wake you, did I? Oh, good, good. No, no, nothing's wrong. I just, uh I've been, uh, thinking about that offer that ride-along.","1","01","The Pilot"
"Hank","It's the last house on the right. See it? Not the two-story one. The one next to it. The kind of I don't know, what do you call that? Green?","1","01","The Pilot"
"Steve","Sage.","1","01","The Pilot"
"Hank","Sage. What, do you work at the f*cking Pottery Barn? Jesus.","1","01","The Pilot"
"Steve","Sage. That's the word for it. My fault the only word your dumb ass knows is green?","1","01","The Pilot"
"Hank","Cheese dick. I know that one. How 'bout that? Anyway, it's the sage one. See it?","1","01","The Pilot"
"Walter","So what tells you it's a meth lab?
Hank  Just our snitch. Says some dude goes by Cap'n Cook lives up to his name in there. Says he always adds a dash of chili powder. Ah, you exuberant Mexicans.","1","01","The Pilot"
"Steve","Uh-uh. Cap’n Cook, that's a white boy's name. Dopey as hell, too.","1","01","The Pilot"
"Hank","Yeah? Tell you what. I got 20 bucks that says he's a beaner.","1","01","The Pilot"
"Steve","All right. You're on.","1","01","The Pilot"
"Hank","All right, come on, come on. All right. School bus is clear. Got the green light.","1","01","The Pilot"
"Agent","Copy that.","1","01","The Pilot"
"Hank","Watch this. This makes 'em shit.","1","01","The Pilot"
"Agent","Go, go, go.","1","01","The Pilot"
"Hank","Meth labs are nasty on a good day. You mix that shit wrong, you got mustard gas.","1","01","The Pilot"
"Walter","Phosphine gas. I think.","1","01","The Pilot"
"Hank","Yeah, exactly. One whiff will k*ll you. That's why the respirators.","1","01","The Pilot"
"Agent","House is clear. One suspect in custody.","1","01","The Pilot"
"Hank","Copy that. The suspect, might he be of the Latino persuasion?","1","01","The Pilot"
"Agent","Driver's license says Emilio Koyama.","1","01","The Pilot"
"Steve","Asian! Pay up, sucker.","1","01","The Pilot"
"Hank","Hey hey hey! First name Emilio. That's at least half a beaner. Tell you what, I'll let you off for a 10. Cheer up, Gomey. You people still got J. Lo.","1","01","The Pilot"
"Walter","Hank, do you think I might get to go inside? See the actual lab?","1","01","The Pilot"
"Hank","Yeah. Yeah, I tell you what, we're gonna go peek our heads in, check it out first. Stay here a minute.","1","01","The Pilot"
"Jesse","God.","1","01","The Pilot"
"Walter","Oh, my God. Pinkman?","1","01","The Pilot"
"Walter","It's me. I'm alone.","1","01","The Pilot"
"Jesse","How'd you find me?","1","01","The Pilot"
"Walter","You're still in our filing system. So your aunt owns this place, right?","1","01","The Pilot"
"Jesse","I own it.","1","01","The Pilot"
"Walter","No one's looking for you.","1","01","The Pilot"
"Jesse","Why are you here?","1","01","The Pilot"
"Walter","I was curious. Honestly, I never expected you to amount to much, but methamphetamine? I didn't picture that. There's a lot of money in it, huh?","1","01","The Pilot"
"Jesse","I don't know what you're talking about.","1","01","The Pilot"
"Walter","No?","1","01","The Pilot"
"Jesse","Not a clue.","1","01","The Pilot"
"Walter","Cap'n Cook? That's not you? Like I said, no one is looking for you.","1","01","The Pilot"
"Jesse","Look, I don't know what you think you're doing here, Mr. White. I mean, if you're planning on giving me some bowl winder about getting right with Jesus by turning myself in...","1","01","The Pilot"
"Walter","Not really.","1","01","The Pilot"
"Jesse","High school was a long time ago. You ain't Welcome Back Kotter, so step off. No speeches.","1","01","The Pilot"
"Walter","Short speech. You lost your partner today. What's his name? Emilio? Emilio is going to prison. The DEA took all your money, your lab. You got nothing. Square 1. But you know the business. And I know the chemistry. I'm thinking maybe you and I could partner up.","1","01","The Pilot"
"Jesse","You want to cook crystal meth? You? You and, uh and me?","1","01","The Pilot"
"Walter","That's right. Either that or I turn you in.","1","01","The Pilot"
"Marie","What the hell is this?","1","01","The Pilot"
"Skyler","Damned if I know. I described it as mosaic folk art.","1","01","The Pilot"
"Marie","Somebody bought it?","1","01","The Pilot"
"Skyler","Yeah, some guy in Minneapolis. 14 dollars plus shipping.","1","01","The Pilot"
"Marie","Yes! At this rate, in 50 or 60 years, you'll be rich. So how goes the novel?","1","01","The Pilot"
"Skyler","It's not a novel, actually, which I have...","1","01","The Pilot"
"Marie","You're not writing a novel? You told me you were.","1","01","The Pilot"
"Skyler","No. Short stories. I said that if eventually I have enough good ones that maybe I'll try and publish another collection.","1","01","The Pilot"
"Marie","Those really didn't sell. I just thought a novel would be easier to sell.","1","01","The Pilot"
"Skyler","Yeah, well, maybe so.","1","01","The Pilot"
"Marie","Ever want me to read anything, I could critique it for you.","1","01","The Pilot"
"Skyler","No. I mean, I'm not at that stage where I...no.","1","01","The Pilot"
"Marie","Open offer. So what's up with Walt lately?","1","01","The Pilot"
"Skyler","What do you mean? He's fine.","1","01","The Pilot"
"Marie","He just seems, I don't know, quieter than usual.","1","01","The Pilot"
"Skyler","Turning 50 is a big deal. I mean, I'm sure as hell not looking forward to 40. You're gonna be a complete basket case.","1","01","The Pilot"
"Marie","So it's a mid-life crisis.","1","01","The Pilot"
"Skyler","No, he's just quiet.","1","01","The Pilot"
"Marie","How's the s*x?","1","01","The Pilot"
"Skyler","Marie, Jesus.","1","01","The Pilot"
"Marie","Guess that answers that.","1","01","The Pilot"
"Walter","You just gonna sit there? This. Look at this. Kjeldahl-style recovery flask, Very rare. You got your usual paraphernalia  Griffin beakers, your Erlenmeyer flask. But the piece de resistance  a round bottom boiling flask.","1","01","The Pilot"
"Jesse","Well, I cook in one of those. The big one.","1","01","The Pilot"
"Walter","One of these? No, this is a volumetric flask. You wouldn't cook in one of these.","1","01","The Pilot"
"Jesse","Yeah, I do.","1","01","The Pilot"
"Walter","No, you don't. A volumetric flask is for general mixing and titration. You wouldn't apply heat to a volumetric flask. That's what a boiling flask is for. Did you learn nothing from my chemistry class?","1","01","The Pilot"
"Jesse","No. You flunked me. Remember?","1","01","The Pilot"
"Walter","No wonder.","1","01","The Pilot"
"Jesse","Prick. Now let me tell you something else. This ain't chemistry, this is art. Cooking is art. And the shit I cook is the b*mb, so don't be telling me.","1","01","The Pilot"
"Walter","The shit you cook is shit. I saw your setup. Ridiculous. You and I will not make garbage. We will produce a chemically pure and stable product that performs as advertised. No adulterants. No baby formula. No chili powder.","1","01","The Pilot"
"Jesse","No, no, chili P is my signature.","1","01","The Pilot"
"Walter","Not anymore.","1","01","The Pilot"
"Jesse","Yeah, well, we'll see about that. What the hell is this?","1","01","The Pilot"
"Walter","Lab safety equipment. We're also gonna have an emergency eye wash station. These chemicals and their fumes are toxic, in case you didn't know that.","1","01","The Pilot"
"Jesse","Well, you can dress up like a f*gg*t if you want. Not me. Listen, this stuff doesn't stay more than a day.","1","01","The Pilot"
"Walter","What? I thought we were gonna cook here.","1","01","The Pilot"
"Jesse","No, we're not gonna cook here. Okay, this is my house. I don't shit where I eat.","1","01","The Pilot"
"Walter","Well, then, where are we gonna work?","1","01","The Pilot"
"Jesse","You tell me. This is your deal. You want to smoke it up, smoke it up at your house. Nah, I didn't think so.","1","01","The Pilot"
"Walter","Oh, well. Well what if we rented one of those self-storage places, you know, those little orange garages, worked out of there?","1","01","The Pilot"
"Jesse","No. They're on to that. They got dogs that sniff around. RV. That's what you want.","1","01","The Pilot"
"Walter","What, like a Winnebago?","1","01","The Pilot"
"Jesse","Yeah. I know a dude who wants to sell his. He just goes camping with it. But a mobile meth lab? That'd be the b*mb. I mean, drive way out in the boonies. Be all evasive.","1","01","The Pilot"
"Jesse","Dude, this isn't even 7 grand. My guy wants 85.","1","01","The Pilot"
"Walter","This is all the money I have in the world. You're a drug dealer. Negotiate.","1","01","The Pilot"
"Jesse","You are not how I remember you from class, I mean, like, not at all.","1","01","The Pilot"
"Walter","I gotta go.","1","01","The Pilot"
"Jesse","Wait, wait. Hold on. Tell me why you're doing this. Seriously.","1","01","The Pilot"
"Walter","Why do you do it?","1","01","The Pilot"
"Jesse","Money, mainly.","1","01","The Pilot"
"Walter","There you go.","1","01","The Pilot"
"Jesse","Nah, come on! Man, some straight like you, giant stick up his ass, all of a sudden at age, what, 60, he's just gonna break bad?","1","01","The Pilot"
"Walter","I'm 50.","1","01","The Pilot"
"Jesse","It's weird is all, okay? It doesn't compute. Listen if you've gone crazy or something I mean, if you've if you've gone crazy or depressed, I'm just saying that's something I need to know about. Okay? I mean, that affects me.","1","01","The Pilot"
"Walter","I am awake.","1","01","The Pilot"
"Jesse","What?","1","01","The Pilot"
"Walter","Buy the RV. We start tomorrow.","1","01","The Pilot"
"Skyler","How's it coming in there?","1","01","The Pilot"
"Walter Jr","Fine.","1","01","The Pilot"
"Skyler","Do you want me or your dad?","1","01","The Pilot"
"Walter Jr","Dad.","1","01","The Pilot"
"Skyler","So how are those feeling in the waist? Are they too tight? 'Cause you don't want to get 'em if they're too tight.","1","01","The Pilot"
"Walter Jr","They're pre-shrunk.","1","01","The Pilot"
"Skyler","Are you sure you don't want to get a different kind? Like, you know, the skinny jeans? Those are really supposed to be in style now. The skaters wear them.","1","01","The Pilot"
"Walter Jr","Do I look like a skater?","1","01","The Pilot"
"Skyler","All right.","1","01","The Pilot"
"Teenager","Mom, look at my big-boy pants. Mommy, could you zip up my big-boy pants?","1","01","The Pilot"
"Walter","Don't.","1","01","The Pilot"
"Skyler","What?","1","01","The Pilot"
"Walter","Don't.","1","01","The Pilot"
"Skyler","Walt.","1","01","The Pilot"
"Walter Jr","Where...","1","01","The Pilot"
"Skyler","I have no idea. You know what? Don't even look at them. They're obviously very stupid. Yep. I think that, um I think those jeans look really good on you. You should get 'em if you like 'em, okay? Why don't you just hang out here for a second? I'll be right back.","1","01","The Pilot"
"Walter Jr","Fine.","1","01","The Pilot"
"Teenager","Mommy, I think I pinched a loaf in my brand-new big-boy pants. What are you doing?","1","01","The Pilot"
"Walter","What's wrong, chief? Having a little trouble walking?","1","01","The Pilot"
"Teenager","Get off me. Get off me! I'll mess you up, man.","1","01","The Pilot"
"Walter","Well, you'll have one sh*t. You better make it good. What, are you waiting for your girlfriends? You better go. Take it. Take your sh*t. Take it! Come on. Come on.","1","01","The Pilot"
"Teenager","Come on, let's get outta here. Let's go. Psycho.","1","01","The Pilot"
"Jesse","Yeah, nothing but cows! Got some big cow house way out that way, like 2 miles, but I don't see nobody.","1","01","The Pilot"
"Walter","Cow house?","1","01","The Pilot"
"Jesse","Yeah, where they live. The cows. Whatever, man. Yeah, let's cook here.","1","01","The Pilot"
"Walter","Cow house. God help me.","1","01","The Pilot"
"Jesse","What are you doing?","1","01","The Pilot"
"Walter","These are my good clothes. I can't go home smelling like a meth lab.","1","01","The Pilot"
"Jesse","Yeah, you can. I do. Those? Those, uh You're keeping those on, right?","1","01","The Pilot"
"Walter","Come on. Daylight's burning.","1","01","The Pilot"
"Jesse","Oh, my God. Oh, this is, uh this is a good look for you. And you're maybe only the world's second biggest h*m*.","1","01","The Pilot"
"Walter","Would you shut up and help me?","1","01","The Pilot"
"Jesse","Oh, yeah. Oh, yeah, work it. Baby, work it.","1","01","The Pilot"
"Walter","Turn that off!","1","01","The Pilot"
"Jesse","This is glass grade. I mean, you got...Jesus, you got crystals in here two inches, three inches long. This is pure glass. You're a g*dd*mn artist. This is art, Mr. White.","1","01","The Pilot"
"Walter","Actually, it's just basic chemistry, but thank you, Jesse. I'm glad it's acceptable.","1","01","The Pilot"
"Jesse","Acceptable? You're the g*dd*mn Iron Chef. Every jibhead from here to Timbuktu is going to want a taste. Now I gotta try this.","1","01","The Pilot"
"Walter","No. No. No, we only sell it. We don't use it.","1","01","The Pilot"
"Jesse","Okay, since when? Listen, you've been watching way too much Miami Vice. That ain't happening.","1","01","The Pilot"
"Walter","So what now? How do we proceed?","1","01","The Pilot"
"Jesse","We cook more tomorrow. Meantime I know just the guy to talk to.","1","01","The Pilot"
"Jesse","Kraze, how you doing, my man? You got a new dog. Right on, man. What's his name? Yeah, I had a dog like that once, except maybe, like, twice as big. Super purebred. Now, me personally, I would train him to go straight for the nuts...","1","01","The Pilot"
"Krazy-8","Just shut your mouth and show me your money.","1","01","The Pilot"
"Jesse","I ain't buying, ese. I'm selling. Tell me that ain't the finest scante you ever laid eyes on. Go ahead, try it. Hey, poochie. How you doing? Jesus Christ. See? What'd I say?","1","01","The Pilot"
"Krazy-8","It's all right.","1","01","The Pilot"
"Jesse","It's all right? It's all right?","1","01","The Pilot"
"Krazy-8","Yeah, it's all right. So, what? You back in business?","1","01","The Pilot"
"Jesse","Hell, yeah, I'm back. With a vengeance. Vato loco gotta make a living. You know, with your cousin gone away and all. And listen, homes, about that. It really broke me up about Emilio. That dude is like my brother. He okay? You talk to him?","1","01","The Pilot"
"Krazy-8","Yeah, yeah, I talked to him. He said when the Feds came, you were out sticking it in some neighbor lady.","1","01","The Pilot"
"Jesse","Hey, you know, I got lucky twice.","1","01","The Pilot"
"Krazy-8","I don't know, man. Emilio, he thinks maybe you dimed on him.","1","01","The Pilot"
"Jesse","That is bullshit. That is bullshit, Krazy-8! I should kick his punk ass for even thinking that. You know what? Next time you talk to Emilio, you tell him for me, all right?","1","01","The Pilot"
"Krazy-8","Why don't you tell him yourself? Made bail this morning.","1","01","The Pilot"
"Emilio","Go ahead, pendejo. Kick my ass.","1","01","The Pilot"
"Jesse","Hey, listen...","1","01","The Pilot"
"Krazy-8","Where did you get this? Because I know your little punk ass didn't cook it.","1","01","The Pilot"
"Krazy-8","Hey, man. You some kind of nudist? That's some stone-fine tick tick you been cooking there, ese. How about you come work for me?","1","01","The Pilot"
"Walter","I'd be willing to sell it to you if the price is right.","1","01","The Pilot"
"Krazy-8","You out here all by yourself, huh?","1","01","The Pilot"
"Emilio","I know you. He was there when I got busted. He's with the DEA!","1","01","The Pilot"
"Walter","No.","1","01","The Pilot"
"Emilio","You ratasnitch m*therf*cker!","1","01","The Pilot"
"Jesse","Run, Mr. White! Run!","1","01","The Pilot"
"Emilio","I say we cap 'em both.","1","01","The Pilot"
"Krazy-8","Hey, you really cook up that batch?","1","01","The Pilot"
"Walter","Yeah.","1","01","The Pilot"
"Krazy-8","You an artist. It's a damn shame.","1","01","The Pilot"
"Walter","Wait! Wait a minute. Listen to me. I'll teach you my recipe. What do you say? You want to cook like me? You let us both live and I will teach you. Put the cigarette out. Please.","1","01","The Pilot"
"Emilio","Move it, homes. We ain't got all day.","1","01","The Pilot"
"Walter","Okay.","1","01","The Pilot"
"Jesse","What happened? What'd you do to them?","1","01","The Pilot"
"Walter","Red phosphorus in the presence of moisture and accelerated by heat yields phosphorus hydride. Phosphine gas. One good whiff and...we gotta, we gotta clean this up.","1","01","The Pilot"
"Skyler","Where were you? Walt. I don't know what's been going on with you lately, but...","1","01","The Pilot"
"Walter","Nothing. I'm fine.","1","01","The Pilot"
"Skyler","Whatever it is, I'll tell you this. I do not like it when you don't talk to me. The worst thing you can do is shut me out. Walter, is that you?","1","01","The Pilot"
"Submitted and corrected by","Tv_Gal13","1","01","The Pilot"
"Walter","You are a lifesaver.","1","02","Cat's in the Bag"
"Jesse","Yeah, man.","1","02","Cat's in the Bag"
"Walter","We can't thank you enough.","1","02","Cat's in the Bag"
"Jesse","Hey, mad props.","1","02","Cat's in the Bag"
"Walter","I could have sworn the guy said south. But then, all of a sudden we're off the main road. I'm trying to read the map while I'm driving, which is a bonehead maneuver. And all of a sudden bam, we're in that ditch.","1","02","Cat's in the Bag"
"Jesse","Yeah, bam, I'm like, what the hell? You know?","1","02","Cat's in the Bag"
"Walter","Yes, and my coffee mug. Coffee? My mug of coffee? It spills all over my pants. I mean, just a nightmare.","1","02","Cat's in the Bag"
"Jesse","Dude, you so need GPS. I mean, for real.","1","02","Cat's in the Bag"
"Walter","Like I said, we couldn't be more grateful.","1","02","Cat's in the Bag"
"Jesse","Can't we just dump 'em here?","1","02","Cat's in the Bag"
"Walter","What, then somebody finds them? Then what? People have seen us.","1","02","Cat's in the Bag"
"Jesse","You're gonna flood it, man.","1","02","Cat's in the Bag"
"Walter","I'm not gonna flood it. She's not gonna flood, all right? We're just gonna stay positive, right? We're going to clean up this mess. Wish you would start.","1","02","Cat's in the Bag"
"Jesse","Damn it. See? You flooded it.","1","02","Cat's in the Bag"
"Walter","All right. All right. You know what? The RV is going to start now. The RV is going to start right now. It's gonna start and we're gonna drive it over to your house.","1","02","Cat's in the Bag"
"Jesse","My house?","1","02","Cat's in the Bag"
"Walter","Yes. We'll drive it over there and park it overnight. And then tomorrow...","1","02","Cat's in the Bag"
"Jesse","No, man, not my house!","1","02","Cat's in the Bag"
"Walter","Shut up! After we finish cleaning up this mess, we will go our separate ways. Our paths will never cross. And we will tell this to no one. Understood?","1","02","Cat's in the Bag"
"Jesse","What, I can talk now? Fine. That goes double for me.","1","02","Cat's in the Bag"
"Walter","Be good to me. Oh, shit.","1","02","Cat's in the Bag"
"Skyler","Walt? You coming out?","1","02","Cat's in the Bag"
"Walter","Yeah, absolutely.","1","02","Cat's in the Bag"
"Walter","You wanna hear something funny? We had a faculty meeting last Thursday and the topic was senior class photos, and how we had instituted a new rule last year that seniors are allowed to have photos taken by a photographer of their choice. Not necessarily the photographer that the school hires, right? So anyway, some of the senior girls were going to that Glamour Shots place, to have their photos taken, and now they're bringing us all these photos, and Joan Epperman, you know Joan, suddenly has to go through all these photos and turn them down, because they show cleavage.","1","02","Cat's in the Bag"
"Skyler","Did you get enough pancakes, sweetie?","1","02","Cat's in the Bag"
"Walter Junior","Yeah. I'm good.","1","02","Cat's in the Bag"
"Walter","You know, even these small-busted girls have cleavage. Apparently there's some new type of brassiere, or something.","1","02","Cat's in the Bag"
"Walter Junior","The Wonderbra. It's the Wonderbra.","1","02","Cat's in the Bag"
"Walter(Answering Machine)","Hey, there. You've reached Walt, Skyler and Walter Junior. We can't come to the phone right now, so please leave us a message.","1","02","Cat's in the Bag"
"Jesse","Hello, Mr. White. This is AT&T calling. Are you happy with your current long distance service? 'Cause if you're not, I would definitely, really love to talk to you as soon as possible about...","1","02","Cat's in the Bag"
